"What is the official name of Malaysia's national anthem?","Negaraku","Rukunegara","Jalur Gemilang","Majulah Singapura","Negaraku"
"What is the largest island in Thailand?","Phuket","Koh Samui","Koh Chang","Koh Tao","Phuket"
"In Singapore, what is the iconic symbol that combines a lion's head and a fish body?","Mermaid","Mermaidon","Merlion","Merphish","Merlion"
"What is the name of the famous street food district in Bangkok, Thailand?","Khaosan Road","Sukhumvit Road","Silom Road","Patpong Road","Khaosan Road"
"What is the national animal of Malaysia?","Malayan Tiger","Orangutan","Pygmy Elephant","Hornbill","Malayan Tiger"
"Which Thai city is known as the 'Rose of the North'?","Chiang Mai","Chiang Rai","Pattaya","Hua Hin","Chiang Mai"
"In Singapore, what is the name of the iconic Ferris wheel?","Singapore Eye","Singapore Flyer","Singapore Wheel","Singapore Sky","Singapore Flyer"
"What is the national dish of Thailand?","Pad Thai","Green Curry","Som Tum (Papaya Salad)","Massaman Curry","Som Tum (Papaya Salad)"
"In Malaysia, which state is famous for its Batik art and culture?","Kelantan","Terengganu","Sarawak","Perak","Kelantan"
"What is the name of the annual water festival celebrated in Thailand?","Songkran","Loi Krathong","Vesak","Magha Puja","Songkran"
"What is the national flower of Thailand?","Orchid","Lotus","Rafflesia","Sunflower","Orchid"
"Which island in Malaysia is known for its diverse marine life and coral reefs?","Tioman Island","Penang Island","Langkawi Island","Redang Island","Tioman Island"
"What is the currency of Thailand?","Baht","Dirham","Kip","Dong","Baht"
"Which famous Malaysian dish is a fragrant rice dish cooked with coconut milk and pandan leaves?","Nasi Kandar","Nasi Lemak","Nasi Goreng","Nasi Kerabu","Nasi Lemak"
"What is the name of the highest mountain in Thailand?","Doi Inthanon","Doi Suthep","Doi Pui","Doi Tung","Doi Inthanon"
"In which year did Singapore become an independent republic?","1965","1957","1971","1980","1965"
"What is the official name of Thailand?","Kingdom of Thailand","Republic of Thailand","Empire of Thailand","Union of Thailand","Kingdom of Thailand"
"Which Malaysian state is known for its delicious durians?","Pahang","Johor","Kedah","Perak","Pahang"
"What is the traditional Thai greeting?","Sawasdee Krub (for males) / Sawasdee Ka (for females)","Kop khun krub","Ka pun krub","Suk san wan song wan","Sawasdee Krub (for males) / Sawasdee Ka (for females)"
"Which island country is located to the south of Singapore?","Indonesia","Philippines","Brunei","Maldives","Indonesia"
